year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
"2019","450255000760","Dobys Mill Elementary","SC","Kershaw 01","Primary","Regular school","No","34.148133","-80.731835","00760"
"2019","450231000578","Donaldson Career Center","SC","Greenville 01","High","Vocational school","No","34.764598","-82.380013","00578"
"2019","450199000407","Dorchester Career and Technology Center","SC","Dorchester 80","High","Vocational school","No","33.148572","-80.387886","00407"
"2019","450363000815","Dorman High Freshman Campus","SC","Spartanburg 06","Missing/not reported","Regular school","No","34.85716","-81.975273","00815"
"2019","450363001038","Dorman High","SC","Spartanburg 06","High","Regular school","No","34.849447","-81.971507","01038"
"2019","450207000408","Douglas Elementary","SC","Edgefield 01","Primary","Regular school","No","33.732442","-81.836814","00408"
"2019","450391000875","Dover Elementary","SC","Orangeburg","Primary","Regular school","No","33.605335","-81.106623","00875"
"2019","450201001673","Dr. Eugene Sires Elementary","SC","Dorchester 02","Primary","Regular school","No","32.981855","-80.155491","01673"
"2019","450255000669","Dr. Gilbert G. Woolard Technology Center","SC","Kershaw 01","High","Vocational school","No","34.220092","-80.58449","00669"
"2019","450231001633","Dr. Phinnize J. Fisher Middle","SC","Greenville 01","Middle","Regular school","No","34.816319","-82.317871","01633"
"2019","450144001167","Drayton Hall Elementary","SC","Charleston 01","Primary","Regular school","No","32.853459","-80.072817","01167"
"2019","450366001710","Drayton Mills Elementary","SC","Spartanburg 07","Primary","Regular school","No","34.972378","-81.900147","01710"
"2019","450150000274","Draytonville Elementary","SC","Cherokee 01","Primary","Regular school","No","35.033646","-81.58529","00274"
"2019","450336000950","Dreher High","SC","Richland 01","High","Regular school","No","33.999482","-80.994141","00950"
"2019","450231000506","Duncan Chapel Elementary","SC","Greenville 01","Primary","Regular school","No","34.909605","-82.428157","00506"
"2019","450360001016","Duncan Elementary School of the Arts","SC","Spartanburg 05","Primary","Regular school","No","34.930365","-82.128115","01016"
"2019","450282000754","Dutch Fork Elementary","SC","Lexington 05","Primary","Regular school","No","34.105727","-81.185855","00754"
"2019","450282000017","Dutch Fork High","SC","Lexington 05","High","Regular school","No","34.153055","-81.199464","00017"
"2019","450282000339","Dutch Fork Middle","SC","Lexington 05","Middle","Regular school","No","34.152875","-81.203819","00339"
"2019","450387001526","Dutchman Creek Middle","SC","York 03","Middle","Regular school","No","35.00887","-81.06586","01526"
"2019","450261000696","E. B. Morse Elementary","SC","Laurens 55","Primary","Regular school","No","34.491661","-82.038345","00696"
"2019","450339000973","E. L. Wright Middle","SC","Richland 02","Primary","Regular school","No","34.082976","-80.925102","00973"
"2019","450366001041","E. P. Todd School","SC","Spartanburg 07","Primary","Regular school","No","34.911463","-81.903038","01041"
"2019","450144000212","E.B. Ellington Elementary","SC","Charleston 01","Primary","Regular school","No","32.784895","-80.211357","00212"
"2019","450201001483","Eagle Nest Elementary","SC","Dorchester 02","Primary","Regular school","No","32.909273","-80.124789","01483"
"2019","450333000902","Easley High","SC","Pickens 01","High","Regular school","No","34.789607","-82.582452","00902"
"2019","450072000023","East Aiken School of the Arts","SC","Aiken 01","Primary","Regular school","No","33.55185","-81.674386","00023"
"2019","450180000331","East Clarendon Middle-High","SC","Clarendon 03","High","Regular school","No","33.89254","-80.014819","00331"
"2019","450144000856","East Cooper Montessori Charter","SC","Charleston 01","Primary","Regular school","Yes","32.797471","-79.853154","00856"
"2019","450192000381","East Elementary","SC","Dillon 04","Primary","Regular school","No","34.41419","-79.362861","00381"
"2019","450333000885","East End Elementary","SC","Pickens 01","Primary","Regular school","No","34.828276","-82.594843","00885"
"2019","450390101696","East Link Academy","SC","SC Public Charter School District","Primary","Regular school","Yes","34.807649","-82.34331","01696"
"2019","450231000509","East North Street Academy","SC","Greenville 01","Primary","Regular school","No","34.858537","-82.371184","00509"
"2019","450390101582","East Point Academy","SC","SC Public Charter School District","Primary","Regular school","Yes","33.997334","-81.081826","01582"
"2019","450390800761","Easterling Primary","SC","Marion 10","Primary","Regular school","No","34.187069","-79.392651","00761"
"2019","450264001397","Eastside Elementary","SC","Laurens 56","Primary","Regular school","No","34.466763","-81.854598","01397"
"2019","450231000563","Eastside High","SC","Greenville 01","High","Regular school","No","34.893639","-82.300793","00563"
"2019","450336000951","Eau Claire High","SC","Richland 01","High","Regular school","No","34.048231","-81.040984","00951"
"2019","450387001132","Ebenezer Avenue Elementary: Traditional Montesorri Inquiry","SC","York 03","Primary","Regular school","No","34.932229","-81.027056","01132"
"2019","450390201077","Ebenezer Middle","SC","Sumter 01","Middle","Regular school","No","34.016046","-80.401604","01077"
"2019","450387001133","Ebinport Elementary","SC","York 03","Primary","Regular school","No","34.968845","-81.030174","01133"
"2019","450240000603","Edgewood Middle","SC","Greenwood 52","Middle","Regular school","No","34.157235","-82.02609","00603"
"2019","450391000116","Edisto Elementary","SC","Orangeburg","Primary","Regular school","No","33.466387","-80.957125","00116"
"2019","450391000862","Edisto High","SC","Orangeburg","High","Regular school","No","33.444184","-80.937776","00862"
"2019","450391000860","Edisto Primary","SC","Orangeburg","Primary","Regular school","No","33.434537","-80.914583","00860"
"2019","450144000225","Edith L. Frierson Elementary","SC","Charleston 01","Primary","Regular school","No","32.640757","-80.182427","00225"
"2019","450144000200","Edmund A. Burns Elementary","SC","Charleston 01","Primary","Regular school","No","32.854206","-79.991264","00200"
"2019","450336001305","Edward E. Taylor Elementary","SC","Richland 01","Primary","Regular school","No","34.03188","-81.06136","01305"
"2019","450156000305","Edwards Elementary","SC","Chesterfield 01","Primary","Regular school","No","34.737634","-80.11771","00305"
"2019","450234001338","Eleanor S. Rice Elementary","SC","Greenwood 50","Primary","Regular school","No","34.226964","-82.140853","01338"
"2019","450231000541","Ellen Woodside Elementary","SC","Greenville 01","Primary","Regular school","No","34.648181","-82.390064","00541"
"2019","450391000877","Elloree Elementary","SC","Orangeburg","Primary","Regular school","No","33.529543","-80.551881","00877"
"2019","450234000593","Emerald High","SC","Greenwood 50","High","Regular school","No","34.191056","-82.187366","00593"
"2019","450231000580","Enoree Career Center","SC","Greenville 01","High","Vocational school","No","34.91069","-82.443161","00580"
"2019","450258000675","Erwin Elementary","SC","Lancaster 01","Primary","Regular school","No","34.698298","-80.805479","00675"
"2019","450246000611","Estill Elementary","SC","Hampton 02","Primary","Regular school","No","32.75467","-81.235611","00611"
"2019","450246000613","Estill High","SC","Hampton 02","High","Regular school","No","32.792293","-81.236835","00613"
"2019","450246000612","Estill Middle","SC","Hampton 02","Middle","Regular school","No","32.792293","-81.236835","00612"
"2019","450342001186","Evaluation and Detention Center","SC","Dept of Juvenile Justice","High","Other/alternative school","No","34.058944","-81.102155","01186"
"2019","450160000328","F. E. Dubose Career Center","SC","Clarendon 80","High","Vocational school","No","33.725639","-80.199686","00328"
"2019","450306000194","Fair-Oak Elementary","SC","Oconee 01","Primary","Regular school","No","34.579546","-83.021462","00194"
"2019","450075001661","Fairfax Elementary","SC","Allendale 01","Primary","Regular school","No","32.951205","-81.230676","01661"
"2019","450210001232","Fairfield Career and Technology Center","SC","Fairfield 01","High","Vocational school","No","34.35875","-81.098857","01232"
"2019","450210001392","Fairfield Central High","SC","Fairfield 01","High","Regular school","No","34.357541","-81.09772","01392"
"2019","450210001407","Fairfield Elementary","SC","Fairfield 01","Primary","Regular school","No","34.403654","-81.10378","01407"
"2019","450210001448","Fairfield Magnet for Math and Science","SC","Fairfield 01","Primary","Regular school","No","34.394933","-81.103526","01448"
"2019","450210000421","Fairfield Middle","SC","Fairfield 01","Middle","Regular school","No","34.359339","-81.099464","00421"
"2019","450363001025","Fairforest Elementary","SC","Spartanburg 06","Primary","Regular school","No","34.981769","-82.061449","01025"
"2019","450363001314","Fairforest Middle","SC","Spartanburg 06","Middle","Regular school","No","34.94998","-82.013161","01314"
"2019","450390101401","Felton Laboratory Charter School","SC","SC Public Charter School District","Primary","Regular school","Yes","33.498385","-80.848041","01401"
"2019","450243000608","Fennell Elementary","SC","Hampton 01","Primary","Regular school","No","32.692483","-80.85595","00608"
"2019","450387001135","Finley Road Elementary","SC","York 03","Primary","Regular school","No","34.931028","-81.054035","01135"
"2019","450084001506","Flat Rock Elementary","SC","Anderson 03","Primary","Regular school","No","34.408568","-82.64232","01506"
"2019","450213000446","Florence Career Center","SC","Florence 01","High","Vocational school","No","34.132696","-79.770936","00446"
"2019","450360000997","Florence Chapel Middle","SC","Spartanburg 05","Middle","Regular school","No","34.898384","-82.072494","00997"
"2019","450201001231","Flowertown Elementary","SC","Dorchester 02","Primary","Regular school","No","32.988911","-80.204863","01231"
"2019","450381001123","Floyd D. Johnson Technology Center","SC","York 01","High","Vocational school","No","35.01426","-81.226249","01123"
"2019","450261000693","Ford Elementary","SC","Laurens 55","Primary","Regular school","No","34.522016","-81.996516","00693"
"2019","450333000886","Forest Acres Elementary","SC","Pickens 01","Primary","Regular school","No","34.815461","-82.573537","00886"
"2019","450390001736","Forest Creek Middle School","SC","York 04","Missing/not reported","Regular school","No","34.976602","-80.927044","01736"
"2019","450336000649","Forest Heights Elementary","SC","Richland 01","Primary","Regular school","No","34.093608","-81.052109","00649"
"2019","450183000337","Forest Hills Elementary","SC","Colleton 01","Primary","Regular school","No","32.912621","-80.678798","00337"
"2019","450339000969","Forest Lake Elementary","SC","Richland 02","Primary","Regular school","No","34.051706","-80.950491","00969"
"2019","450249001418","Forestbrook Elementary","SC","Horry 01","Primary","Regular school","No","33.717291","-78.988945","01418"
"2019","450249000243","Forestbrook Middle","SC","Horry 01","Middle","Regular school","No","33.719608","-78.984585","00243"
"2019","450231000512","Fork Shoals School","SC","Greenville 01","Primary","Regular school","No","34.618166","-82.312195","00512"
"2019","450201000715","Fort Dorchester Elementary","SC","Dorchester 02","Primary","Regular school","No","32.937064","-80.137885","00715"
"2019","450201000007","Fort Dorchester High","SC","Dorchester 02","High","Regular school","No","32.926243","-80.111133","00007"
"2019","450390001153","Fort Mill Elementary","SC","York 04","Primary","Regular school","No","35.015144","-80.917859","01153"
"2019","450390001156","Fort Mill High","SC","York 04","High","Regular school","No","35.013145","-80.96449","01156"
